"concurrent_requests";"benchmark_title";"client_home_elapsed_seconds";"client_home_error_msg";"client_home_http_code";"client_home_result";"client_home_started_time";"client_home_stopped_time";"server_buy_cpu_usage";"server_buy_memory_usage";"server_buy_elapsed_seconds";"server_buy_error_msg";"server_buy_result";"server_buy_started_time";"server_buy_stopped_time";"client_buy_elapsed_seconds";"client_buy_error_msg";"client_buy_http_code";"client_buy_result";"client_buy_started_time";"client_buy_stopped_time"
1000;"";6.85;"";200;True;"2015-01-03T00:33:34.396990";"2015-01-03T00:33:41.246435";31.7;3103;0.344;"";True;"2015-01-03T00:33:44.695153";"2015-01-03T00:33:45.039266";9.829;"";200;True;"2015-01-03T00:33:41.246819";"2015-01-03T00:33:51.075833"
1000;"";9.275;"";200;True;"2015-01-03T00:33:34.356177";"2015-01-03T00:33:43.631234";30.8;3103;0.33;"";True;"2015-01-03T00:33:45.018128";"2015-01-03T00:33:45.348170";7.478;"";200;True;"2015-01-03T00:33:43.631354";"2015-01-03T00:33:51.109404"
1000;"";7.762;"";200;True;"2015-01-03T00:33:33.965126";"2015-01-03T00:33:41.727216";30.0;3101;0.306;"";True;"2015-01-03T00:33:45.183754";"2015-01-03T00:33:45.489999";9.393;"";200;True;"2015-01-03T00:33:41.727594";"2015-01-03T00:33:51.121162"
1000;"";6.732;"";200;True;"2015-01-03T00:33:34.445207";"2015-01-03T00:33:41.177585";31.2;3103;0.337;"";True;"2015-01-03T00:33:44.830964";"2015-01-03T00:33:45.167936";9.945;"";200;True;"2015-01-03T00:33:41.177707";"2015-01-03T00:33:51.122834"
1000;"";8.606;"";200;True;"2015-01-03T00:33:34.859436";"2015-01-03T00:33:43.465761";30.2;3101;0.277;"";True;"2015-01-03T00:33:45.255312";"2015-01-03T00:33:45.532230";7.696;"";200;True;"2015-01-03T00:33:43.465887";"2015-01-03T00:33:51.162264"
1000;"";9.548;"";200;True;"2015-01-03T00:33:34.235325";"2015-01-03T00:33:43.782911";28.2;3101;0.468;"";True;"2015-01-03T00:33:45.815121";"2015-01-03T00:33:46.283107";7.969;"";200;True;"2015-01-03T00:33:43.783035";"2015-01-03T00:33:51.752198"
1000;"";6.692;"";200;True;"2015-01-03T00:33:34.468557";"2015-01-03T00:33:41.160094";30.9;3101;0.476;"";True;"2015-01-03T00:33:46.594495";"2015-01-03T00:33:47.070143";11.619;"";200;True;"2015-01-03T00:33:41.160231";"2015-01-03T00:33:52.779263"
1000;"";11.263;"";200;True;"2015-01-03T00:33:34.888339";"2015-01-03T00:33:46.151367";31.7;3103;0.307;"";True;"2015-01-03T00:33:46.843456";"2015-01-03T00:33:47.150044";6.64;"";200;True;"2015-01-03T00:33:46.151519";"2015-01-03T00:33:52.791034"
1000;"";9.972;"";200;True;"2015-01-03T00:33:34.634240";"2015-01-03T00:33:44.605753";31.1;3101;0.464;"";True;"2015-01-03T00:33:46.554929";"2015-01-03T00:33:47.019115";8.265;"";200;True;"2015-01-03T00:33:44.605885";"2015-01-03T00:33:52.871320"
1000;"";11.218;"";200;True;"2015-01-03T00:33:35.042817";"2015-01-03T00:33:46.260902";31.9;3103;0.286;"";True;"2015-01-03T00:33:46.907798";"2015-01-03T00:33:47.193641";6.626;"";200;True;"2015-01-03T00:33:46.261035";"2015-01-03T00:33:52.887121"
